品番,名前,スニダン,BIG,BANK,シンソク,利率,BIG予想値利率,BIG予想値,買取表,リアルタイム満額,底値,最底値(傷あり),BIG予想値と買取表の差異,買取表と底値の差異,利益率,備考,傾向,d7%,ma5,ma20,直近1週間,画像URL
003/025,カメックス,"¥27,358",,"¥28,000","¥23,500",,,,,,,,,,,,,,,,,
010/025,ひかるコイキング,"¥29,876","¥30,070","¥31,500","¥28,000",,,,,,,,,,,,,,,,,
012/025,ブラッキー☆,"¥57,576",,,"¥51,000",,,,,,,,,,,,,,,,,
095/069,ブラッキーVMAX HR,"¥888,000","¥843,900","¥892,000","¥830,000",,,,,,,,,,,,,,,,,
093/069,ニンフィアVMAX HR,"¥259,960","¥218,250",,"¥240,000",,,,,,,,,,,,,,,,,
091/069,グレイシアVMAX HR,"¥145,000","¥140,650",,,,,,,,,,,,,,,,,,,
089/069,リーフィアVMAX HR,"¥117,700","¥116,400","¥120,000","¥114,000",,,,,,,,,,,,,,,,,
189/S-P,エーフィVMAX,"¥84,676","¥78,570",,,,,,,,,,,,,,,,,,,
245/184,ブラッキーVMAX CSR,"¥38,240","¥38,800",,"¥34,500",,,,,,,,,,,,,,,,,
232/184,ニンフィアVMAX CSR,"¥27,940","¥27,645","¥30,000","¥26,500",,,,,,,,,,,,,,,,,
103/100,リザードンV SR,"¥62,660","¥66,445","¥70,000","¥61,000",,,,,,,,,,,,,,,,,
308/190,リザードンVMAX SSR,"¥39,320","¥37,830",,"¥35,000",,,,,,,,,,,,,,,,,
020/019,ゲンガーVMAX,"¥460,200","¥431,650",,"¥420,000",,,,,,,,,,,,,,,,,
119/100,ミュウVMAX HR,"¥236,600","¥227,950",,"¥225,000",,,,,,,,,,,,,,,,,
083/067,レックウザVMAX HR,"¥1,123,222","¥1,150,000","¥1,150,000","¥1,060,000",,,,,,,,,,,,,,,,,
252/184,レックウザVMAX CSR,"¥37,315","¥33,950",,"¥36,500",,,,,,,,,,,,,,,,,
110/098,ルギアV SR,"¥205,800","¥213,400",,"¥200,000",,,,,,,,,,,,,,,,,
076/067,レックウザV SR,"¥209,200","¥213,400","¥223,000","¥200,000",,,,,,,,,,,,,,,,,
187/S-P,シャワーズVMAX 夏ポケカ,"¥1,758,798",,,"¥1,500,000",,,,,,,,,,,,,,,,,
188/S-P,サンダースVMAX 夏ポケカ,"¥1,390,000",,,"¥1,260,000",,,,,,,,,,,,,,,,,
186/S-P,ブースターVMAX 夏ポケカ,"¥1,148,600",,,"¥910,000",,,,,,,,,,,,,,,,,
240/150,レックウザGX SSR,"¥266,344","¥271,600","¥285,000","¥255,000",,,,,,,,,,,,,,,,,
052/051,リザードンGX SR,"¥374,000","¥329,800",,"¥310,000",,,,,,,,,,,,,,,,,
175/173,デデンネGX SR,"¥63,698","¥56,745",,"¥54,000",,,,,,,,,,,,,,,,,
104/S-P,リザードンVMAX HR,"¥1,885,000","¥1,649,000",,"¥1,590,000",,,,,,,,,,,,,,,,,
103/S-P,リザードンV SR,"¥406,600","¥363,750",,"¥355,000",,,,,,,,,,,,,,,,,
175/S-P,セレビィV,"¥38,560","¥33,950","¥41,000","¥37,000",,,,,,,,,,,,,,,,,
111/100,ギラティナV SR,"¥354,400","¥347,260",,"¥335,000",,,,,,,,,,,,,,,,,
